Title,Genre,Year,Runtime,IMDB,Language
My Own Man,Documentary,2014,81,6.4,English
A Very Murray Christmas,Musical,2015,56,5.5,English
Beasts of No Nation,Drama,2015,136,7.7,English
Hot Girls Wanted,Documentary,2015,84,6.1,English
Keith Richards: Under the Influence,Documentary,2015,81,7.1,English
The Other One: The Long Strange Trip of Bob Weir,Documentary,2015,83,7.3,English
The Ridiculous 6,Comedy,2015,119,4.8,English
Tig,Documentary,2015,80,7.4,English
"What Happened, Miss Simone?",Documentary,2015,84,7.6,English
Winter on Fire: Ukraine's Fight for Freedom,Documentary,2015,91,8.4,English
13th,Documentary,2016,100,8.2,English
7 años,Drama,2016,76,6.8,Spanish
Amanda Knox,Documentary,2016,92,6.9,English
ARQ,Science fiction,2016,88,6.4,English
Audrie & Daisy,Documentary,2016,98,7.2,English
Barry,Documentary,2016,104,5.8,English
Brahman Naman,Comedy,2016,95,5.6,English
Extremis,Documentary,2016,24,7.3,English
I Am the Pretty Thing That Lives in the House,Horror,2016,89,4.6,English
I'll Sleep When I'm Dead,Documentary,2016,79,6.6,English
Into the Inferno,Documentary,2016,107,7.2,English
Justin Timberlake + The Tennessee Kids,Variety Show,2016,90,7.7,English
Mascots,Documentary,2016,95,5.8,English
Mercy,Thriller,2016,90,4.2,English
My Beautiful Broken Brain,Documentary,2016,91,7.1,English
Pee-wee's Big Holiday,Action,2016,89,6.1,English
Rebirth,Thriller,2016,100,5,English
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,2016,79,7.3,English
Special Correspondents,Comedy,2016,100,5.8,English
Spectral,Science fiction,2016,108,6.3,English
Tallulah,Comedy,2016,111,6.7,English
Team Foxcatcher,Documentary,2016,90,7.3,English
The Do-Over,Action,2016,108,5.7,English
The Fundamentals of Caring,Comedy,2016,97,7.3,English
The Ivory Game,Documentary,2016,112,7.9,English
The Siege of Jadotville,Drama,2016,108,7.2,English
The White Helmets,Documentary,2016,40,7.5,English
Tony Robbins: I Am Not Your Guru,Documentary,2016,116,6.7,English
True Memoirs of an International Assassin,Action,2016,98,5.9,English
