value,state,zcta,lat,lon,pov,zcta_pop,CMAQ
9.597647059,Alabama,36532,30.498001,-87.881412,6.1,27829,8.098836034
10.8,Alabama,36251,33.281261,-85.802182,19.5,5103,9.76620814
11.21217391,Alabama,35660,34.758781,-87.650562,19,9042,9.402678817
11.65909091,Alabama,35962,34.287627,-85.968298,13.8,8300,8.534772474
12.37539432,Alabama,35901,33.993749,-85.991072,8.8,20045,9.241743625
10.50884956,Alabama,36303,31.226359,-85.390768,15.6,30217,9.121892443
15.59101655,Alabama,35207,33.553056,-86.815,25.5,9010,10.23561168
12.39935484,Alabama,35111,33.331111,-87.003611,7.3,16140,10.23561168
11.1037037,Alabama,35444,33.459722,-87.305556,8.1,3699,8.161788618
13.11454545,Alabama,35094,33.545278,-86.549167,10.5,14212,9.303765525
14.5502381,Alabama,35064,33.499722,-86.924167,18.1,11458,10.23561168
12.228125,Alabama,35244,33.386389,-86.816667,2.1,32390,10.23561168
11.95194805,Alabama,35126,33.704722,-86.669167,5.1,21725,9.303765525
11.775,Alabama,35180,33.801667,-86.9425,13.3,13794,8.816101285
12.23294118,Alabama,35802,34.68767,-86.58637,5.2,21297,9.343610807
10.03211009,Alabama,36611,30.769941,-88.087526,23.2,6106,8.654895078
9.565934066,Alabama,36582,30.474674,-88.14114,18.4,24624,9.495926357
11.99786667,Alabama,36110,32.425833,-86.285278,23,12997,10.21943258
11.37372881,Alabama,35603,34.518735,-86.976939,8.3,30545,8.821747755
13.16314554,Alabama,31901,32.4722,-85.0051,37.7,8638,9.774143543
11.56271186,Alabama,35124,33.312927,-86.821104,2.7,23020,10.23561168
12.1953271,Alabama,35044,33.279747,-86.349438,18.8,7713,10.25765171
11.42058824,Alabama,35404,33.18935,-87.484217,15.5,21251,8.52887043
11.70583333,Alabama,35501,33.832778,-87.2725,19.3,10424,8.140101397
3.023809524,Arizona,86540,35.881974,-109.434003,44.8,1088,4.523397768
6.911111111,Arizona,85626,31.3492,-109.539683,15.6,1021,5.266898447
5.928813559,Arizona,86011,35.206111,-111.652777,64.3,6362,5.10844222
10.49261745,Arizona,85019,33.48385,-112.14257,29.5,25042,12.21353043
8.446086957,Arizona,85202,33.41045,-111.86507,13.4,37275,14.09545857
10.88362069,Arizona,85041,33.40316,-112.07533,21.4,54947,11.4769073
7.190909091,Arizona,85256,33.488242,-111.855654,19.4,4974,14.09545857
8.846086957,Arizona,85015,33.503833,-112.095767,33.6,37644,12.21353043
5.528205128,Arizona,86411,35.540017,-113.410782,35.9,224,5.798752865
5.700862069,Arizona,85741,32.322661,-111.038389,7.6,32998,9.110332942
5.363559322,Arizona,85704,32.29515,-110.9823,26.4,30929,9.50234623
10.57213115,Arizona,85122,32.877583,-111.752222,14.2,50942,11.51284082
7.465178571,Arizona,85119,33.421194,-111.503222,7.1,21219,11.3055527
19.45789474,Arizona,85138,33.01053,-111.97205,3.3,33633,11.51284082
14.11382114,Arizona,85621,31.337204,-110.936718,28.6,23054,6.093248214
5.827586207,Arizona,86314,34.595,-112.331,13.9,34401,6.71369956
9.928333333,Arizona,85364,32.677001,-114.648905,18.8,74904,23.13149069
11.24970414,Arkansas,72160,34.518515,-91.55896,15.3,10736,10.74727538
10.74453782,Arkansas,71635,33.136862,-91.950377,13.1,12348,9.531806922
11.7147541,Arkansas,72364,35.197288,-90.193141,9.9,15831,11.29919079
11.64506173,Arkansas,72035,35.105193,-92.427859,20.025,1083,9.001802236
11.15309735,Arkansas,71901,34.469441,-93.000178,16.6,29491,8.157881919
11.18688525,Arkansas,72112,35.637292,-91.188914,23.4,11467,13.11163427
11.05897436,Arkansas,72342,34.529766,-90.586049,32.9,5532,10.49119401
10.52773109,Arkansas,71953,34.583699,-94.226234,13.1,14882,7.925081246
11.25932203,Arkansas,72801,35.259775,-93.10005,23.6,18685,8.72857441
11.5736715,Arkansas,72114,34.756189,-92.281296,0,12658,9.915561832
12.11916667,Arkansas,72202,34.729603,-92.243587,23.7,9978,9.915561832
12.09854227,Arkansas,72209,34.681343,-92.328697,23.7,32376,9.915561832
11.1147929,Arkansas,72901,35.389672,-94.424288,23.7,21591,7.800026366
10.9952381,Arkansas,71730,33.220274,-92.669619,22,32213,7.703593923
10.68508772,Arkansas,72764,36.1797,-94.116827,21,50230,8.270712276
9.95,Arkansas,72149,35.24894,-91.715596,14.125,0,9.300214121
11.61006711,California,94551,37.687526,-121.784217,5.2,36867,11.41442872
9.539583333,California,94603,37.743065,-122.169935,22.5,31403,13.90087017
9.542857143,California,94538,37.535833,-121.961823,3.6,61148,11.41442872
20.45757576,California,95926,39.757371,-121.843286,15.7,37725,5.364694578
10.1640625,California,95249,38.201852,-120.681567,10.1,4042,7.442023938
11.93728814,California,95932,39.202935,-122.017728,8.6,7718,5.134311455
9.73877551,California,94518,37.936013,-122.026154,8.5,26778,13.90087017
18.67700893,California,93726,36.781333,-119.77319,31.3,40705,6.460891351
22.25912304,California,93612,36.819111,-119.717356,15.5,35351,6.460891351
17.46111111,California,93727,36.72639,-119.733,36.9,71820,6.460891351
7.6,California,95501,40.80178,-124.1621,10.9,23976,3.263085081
8.217241379,California,95501,40.776944,-124.1775,12.6,23976,3.263085081
10.15108696,California,92231,32.676186,-115.484144,15.8,39073,14.85092715
8.233913043,California,92227,32.97833,-115.53917,24,26234,11.62284991
8.082407407,California,92243,32.79222,-115.56306,22.3,48030,14.85092715
6.695945946,California,93530,36.487823,-117.871036,0,47,3.513012038
21.2012987,California,93301,35.385574,-119.015009,31.4,12248,5.747608859
6.647272727,California,93501,35.050551,-118.147294,36.8,5467,5.603726797
21.50379404,California,93304,35.356092,-119.041209,22.1,48731,5.747608859
7.086206897,California,93555,35.62109,-117.67296,8.7,32560,4.92293492
23.16078431,California,93304,35.322928,-118.999167,22.1,48731,5.747608859
17.12689075,California,93212,36.10218,-119.566954,22.7,26079,6.194698115
9.03015873,California,95453,39.0327,-122.92229,9.8,11256,3.106960152
14.21339564,California,91702,34.1365,-117.92391,5.7,59705,12.82800248
13.92966102,California,91502,34.17605,-118.31712,10.3,11371,9.270752356
16.11581769,California,90012,34.06659,-118.22688,33.7,31103,9.951742847
11.76814159,California,91335,34.19925,-118.53276,12.8,74363,9.270752356
14.38673469,California,90262,33.92899,-118.21071,19.7,69745,9.951742847
15.00438596,California,90660,34.01194,-118.06995,10.5,62928,12.82800248
12.84067797,California,91106,34.1326,-118.1272,8.5,24229,9.689227582
14.19566474,California,90807,33.82376,-118.18921,5.4,31481,9.951742847
13.70916905,California,90806,33.79236,-118.17533,6.9,42399,6.967713276
7.12,California,93534,34.671394,-118.131456,21.8,39341,7.90834744
8.206349206,California,95482,39.15047,-123.20655,14.1,31808,2.907634071
16.69487179,California,95348,37.308537,-120.480993,14.4,30805,6.814392226
7.166197183,California,93906,36.69676,-121.637182,12.7,59461,5.302319839
14.3,California,95945,39.234331,-121.056591,11.3,25199,6.999230163
11.94216216,California,96161,39.338504,-120.171291,7,18451,4.283312787
12.76578947,California,92804,33.83062,-117.93845,13.3,85914,9.799704275
10.3675,California,92630,33.63003,-117.67593,4.4,59182,9.799704275
11.19206349,California,95678,38.745726,-121.266312,5.9,41192,8.814367987
15.28135593,California,95971,39.937099,-120.938821,14.8,5970,4.344805448
14.17017544,California,96122,39.808333,-120.471667,7.1,3883,3.696869507
13.28974359,California,92506,33.94603,-117.40063,6.7,44001,11.40408527
8.254878049,California,92201,33.70853,-116.21537,20,61827,8.211318548
6.984545455,California,92262,33.85275,-116.54101,10.3,26179,7.719797126
16.43629442,California,92509,33.99958,-117.41601,13.1,75196,12.75330821
18.16116505,California,92509,33.995638,-117.493304,6.1,75196,12.75330821
14.61779141,California,95821,38.613779,-121.368014,14,33550,9.393725286
12.01666667,California,95818,38.558228,-121.492981,12.2,19811,9.393725286
13.28145161,California,95817,38.556326,-121.458499,21,13534,9.393725286
6.936666667,California,95045,36.844096,-121.362121,9.4,4046,6.855167243
15.81504425,California,91763,34.037222,-117.69,12.2,36375,12.75330821
8.644859813,California,92395,34.510014,-117.331433,20.9,42400,9.821146634
15.20625,California,92335,34.10002,-117.49201,19.7,95397,12.75330821
9.224137931,California,92314,34.264444,-116.864444,11.6,10162,7.074141258
13.34684685,California,92408,34.10688,-117.27411,41.6,15271,10.48825836
12.30512821,California,91911,32.631231,-117.05907500000001,10,82999,7.145248159
13.36607143,California,92019,32.791194,-116.942092,18.2,42598,10.63010269
11.3049505,California,92123,32.836461,-117.128752,6.8,26823,9.679733865
17.46180648,California,92025,33.127711,-117.075325,18.1,49978,9.409954046
13.7428125,California,92113,32.701492,-117.149653,12.125,56066,9.679733865
3.467741935,California,91905,32.725226,-116.365203,0,1700,7.729721496
9.987,California,94107,37.765946,-122.399044,7.5,26599,9.230953731
15.62903226,California,95205,37.950741,-121.268523,31.8,38069,10.83838742
7.609090909,California,93401,35.256577,-120.669861,7.95,28033,4.056169985
8.006306306,California,93422,35.49158,-120.66804,6.5,31375,4.045829058
9.497826087,California,94063,37.482934,-122.20337,15.7,30949,5.795291945
10.36779661,California,93103,34.427775,-119.691218,6.9,20249,4.621209208
7.874545455,California,93458,34.949147,-120.43763,18.4,55431,4.226113797
