state,county,site,date,OC PM2.5 LC TOR,OC PM2.5 LC TOT
01,073,0023,2022-01-02,0.397,0.42494
01,073,0023,2022-01-08,1.711,2.03239
01,073,0023,2022-01-11,0.94,1.12351
01,073,0023,2022-01-14,1.759,2.02389
01,073,0023,2022-01-17,0.796,0.89234
01,073,0023,2022-01-20,0.671,0.74738
01,073,0023,2022-01-23,1.987,2.2663
01,073,0023,2022-01-26,1.036,1.16678
01,073,0023,2022-01-29,0.95,1.13155
01,073,0023,2022-02-01,2.704,3.10426
01,073,0023,2022-02-04,0.496,0.53797
01,073,0023,2022-02-07,2.508,2.91871
01,073,0023,2022-02-10,3.372,3.73015
01,073,0023,2022-02-13,0.815,0.92626
01,073,0023,2022-02-16,3.001,3.3501
01,073,0023,2022-02-19,1.362,1.5103
01,073,0023,2022-02-22,0.966,1.05543
01,073,0023,2022-02-25,0.804,0.9089
01,073,0023,2022-02-28,0.436,0.48425
01,073,0023,2022-03-03,2.878,3.49948
01,073,0023,2022-03-06,1.592,1.72013
01,073,0023,2022-03-09,0.839,0.88997
01,073,0023,2022-03-12,0.382,0.44546
01,073,0023,2022-03-15,3.172,3.39337
01,073,0023,2022-03-18,0.962,1.04709
01,073,0023,2022-03-21,3.256,3.74023
01,073,0023,2022-03-24,1.99,2.23328
01,073,0023,2022-03-30,1.067,1.16115
01,073,0023,2022-04-02,1.809,2.01997
01,073,0023,2022-04-05,1.725,1.85908
01,073,0023,2022-04-08,0.995,1.08559
01,073,0023,2022-04-11,0.99,1.07877
01,073,0023,2022-04-14,0.961,1.04652
01,073,0023,2022-04-17,1.255,1.32373
01,073,0023,2022-04-20,1.894,2.13023
01,073,0023,2022-04-23,1.066,1.16721
01,073,0023,2022-04-26,0.771,0.84355
01,073,0023,2022-04-29,1.625,1.7251
01,073,0023,2022-05-02,0.803,0.85745
01,073,0023,2022-05-05,0.855,0.86558
01,073,0023,2022-05-08,0.608,0.61054
01,073,0023,2022-05-11,1.717,1.88066
01,073,0023,2022-05-14,1.089,1.1559
01,073,0023,2022-05-17,1.367,1.4735
01,073,0023,2022-05-20,0.799,0.83567
01,073,0023,2022-05-23,0.65,0.66764
01,073,0023,2022-05-26,0.499,0.51694
